agent_a,agent_b,metric,paired_runs,mean_a,mean_b,mean_b_minus_a,difference_std,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,lower_is_better,numerical_winner
dqn,qrl,total_reward,15,-60.72666666666666,-55.96333333333334,4.763333333333332,32.47719236340364,0.5680389630361895,0.5790056690367464,49.0,0.5614013671875,False,qrl
dqn,qrl,final_position,15,9.333333333333334,7.466666666666667,-1.8666666666666667,6.875075757158365,-1.0515620726641515,0.3108134407418369,46.0,0.4250306527849277,True,qrl
dqn,qrl,position_gain,15,1.7333333333333334,3.6666666666666665,1.9333333333333333,5.71297604039219,1.3106597594191283,0.2110670035670156,29.5,0.26247203487023707,False,qrl
dqn,qrl,total_race_time,15,4783.812533333333,4786.653,2.8404666666666647,8.324985215488026,1.3214534093094343,0.20753971370799673,36.0,0.1876220703125,True,dqn
dqn,qrl,mean_lap_time,15,78.41473333333333,78.46726666666667,0.05253333333333311,0.14434871797474894,1.4095083626330074,0.18051058828851543,31.0,0.1771140408635976,True,dqn
dqn,qrl,mean_lap_delta,15,0.41473333333333334,0.4672666666666666,0.052533333333333335,0.1443487179747447,1.409508362633055,0.1805105882885017,31.0,0.1771140408635976,True,dqn
dqn,qrl,pit_count,15,6.4,6.866666666666666,0.4666666666666667,2.2318047362958033,0.8098343904538502,0.4315854432692482,24.0,0.41636567790816525,False,qrl
dqn,qrl,invalid_action_rate,15,0.0,0.0,0.0,0.0,,,0.0,,True,tie
dqn,qrl,mean_inference_ms,15,0.8125266666666667,2.37318,1.5606533333333334,0.10476223328952815,57.6962153192975,4.7424158893204116e-18,0.0,6.103515625e-05,True,dqn
dqn,qrl,p95_inference_ms,15,1.1571933333333333,3.4421600000000003,2.284966666666667,0.07558193913766377,117.0866737160644,2.409960988266788e-22,0.0,6.103515625e-05,True,dqn
