experiment_id,agent,seed,episode_id,track,year,race_name,completed,laps_completed,total_reward,starting_position,final_position,position_gain,total_race_time,mean_lap_time,mean_lap_delta,pit_count,mean_inference_ms,median_inference_ms,p95_inference_ms,parameter_count,checkpoint_path
benchmark-20260730-211116-3049d3,qrl,1003,qrl-1003-aeb4018b,Silverstone,2025,LEC,True,51,-39.789785560791636,6,1,5.0,5816.129557356487,114.04175602659778,15.63831932983809,0,40.083586274509805,40.5278,42.301500000000004,407,D:\CODES\IITI_SOC\F1-strategy-optimization\checkpoints\qrl\checkpoints_qrl_v6\latest.pt
benchmark-20260730-211116-3049d3,qrl,1004,qrl-1004-01433b33,Monza,2025,STR,True,52,-34.321866849814896,16,10,6.0,4385.124217877993,84.3293118822691,2.441305132686384,3,40.471713461538464,40.643299999999996,43.684685,407,D:\CODES\IITI_SOC\F1-strategy-optimization\checkpoints\qrl\checkpoints_qrl_v6\latest.pt
benchmark-20260730-211116-3049d3,qrl,1004,qrl-1004-d44bc6b1,Silverstone,2025,LAW,True,51,-73.28178762196225,15,1,14.0,6153.748735795805,120.66173991756482,22.21819089795697,0,40.25842549019608,40.4182,42.69485,407,D:\CODES\IITI_SOC\F1-strategy-optimization\checkpoints\qrl\checkpoints_qrl_v6\latest.pt
benchmark-20260730-211116-3049d3,qrl,1005,qrl-1005-bcb81e07,Monza,2025,TSU,True,52,-46.04826695676771,9,14,-5.0,4446.827608254935,85.51591554336413,3.4744114771974637,1,39.9897173076923,40.3222,42.836729999999996,407,D:\CODES\IITI_SOC\F1-strategy-optimization\checkpoints\qrl\checkpoints_qrl_v6\latest.pt
benchmark-20260730-211116-3049d3,qrl,1005,qrl-1005-84e0ec25,Silverstone,2025,SAI,True,51,-74.17821602007623,9,1,8.0,6152.69192983764,120.64101823211058,22.19746921250275,0,40.06287254901961,40.3245,42.402249999999995,407,D:\CODES\IITI_SOC\F1-strategy-optimization\checkpoints\qrl\checkpoints_qrl_v6\latest.pt
benchmark-20260730-211116-3049d3,random,1001,random-1001-4fde4b1d,Monza,2025,HAD,True,52,-398.0380752823128,19,14,5.0,4641.659089427181,89.26267479667656,7.509133059240961,14,0.0395173076923077,0.03685,0.049664999999999994,0,
benchmark-20260730-211116-3049d3,random,1001,random-1001-81eee46c,Silverstone,2025,HUL,True,51,-103.30978249910913,19,1,18.0,5985.117653103958,117.35524810007762,18.911699080469777,3,0.036050980392156866,0.0324,0.057800000000000004,0,
benchmark-20260730-211116-3049d3,random,1002,random-1002-cc689882,Monza,2025,SAI,True,52,-404.8927263336132,13,14,-1.0,4666.037048097935,89.73148169419106,7.887743210205827,15,0.041082692307692306,0.03905,0.05313,0,
benchmark-20260730-211116-3049d3,random,1002,random-1002-81f85444,Silverstone,2025,ALB,True,51,-105.49879962727462,13,1,12.0,6006.742819424947,117.77927096911661,19.335721949508752,3,0.04059607843137254,0.0387,0.05835,0,
benchmark-20260730-211116-3049d3,random,1003,random-1003-2fc1b9c9,Monza,2025,ANT,True,52,-397.515110484238,6,14,-8.0,4640.385447866208,89.23818168973477,7.424890401231408,14,0.036601923076923074,0.03465,0.05241999999999995,0,
benchmark-20260730-211116-3049d3,random,1003,random-1003-86e8c8a6,Silverstone,2025,LEC,True,51,-97.5224527999236,6,1,5.0,5921.420037562374,116.10627524632106,17.6627262267132,3,0.05262549019607842,0.0361,0.0624,0,
benchmark-20260730-211116-3049d3,random,1004,random-1004-be51bda1,Monza,2025,STR,True,52,-351.8720017638807,16,15,1.0,4618.414681680357,88.81566695539148,7.044819539237519,13,0.03429230769230769,0.032049999999999995,0.05128999999999998,0,
benchmark-20260730-211116-3049d3,random,1004,random-1004-79179b09,Silverstone,2025,LAW,True,51,-101.87669339240483,15,1,14.0,5978.23743101498,117.22034178460744,18.827029190576557,3,0.04078235294117646,0.0397,0.0503,0,
benchmark-20260730-211116-3049d3,random,1005,random-1005-49b8080c,Monza,2025,TSU,True,52,-425.25527539816113,9,14,-5.0,4666.0306175782425,89.73135803035082,7.9534054082346595,15,0.0309826923076923,0.027450000000000002,0.05253999999999999,0,
benchmark-20260730-211116-3049d3,random,1005,random-1005-6165fd63,Silverstone,2025,SAI,True,51,-81.31461602007624,9,1,8.0,5984.790393317089,117.34883124151155,18.905282221903704,2,0.03217058823529412,0.0261,0.0537,0,
benchmark-20260730-211116-3049d3,always_stay_out,1001,always_stay_out-1001-f929dcdb,Monza,2025,HAD,True,52,-152.66519653105672,19,4,15.0,4344.365880103872,83.54549769430523,1.8076679147686918,0,0.0016173076923076924,0.0014,0.0029599999999999965,0,
benchmark-20260730-211116-3049d3,always_stay_out,1001,always_stay_out-1001-a72b88c8,Silverstone,2025,HUL,True,51,-74.28588249910914,19,1,18.0,6153.776957884786,120.66229329185855,22.2187442722507,0,0.001678431372549019,0.0014,0.0035,0,
benchmark-20260730-211116-3049d3,always_stay_out,1002,always_stay_out-1002-1106842a,Monza,2025,SAI,True,52,-128.68085782853993,13,1,12.0,4299.768803513301,82.68786160602501,0.7078572747192171,0,0.0015461538461538464,0.0014,0.0022349999999999987,0,
benchmark-20260730-211116-3049d3,always_stay_out,1002,always_stay_out-1002-b50bfb11,Silverstone,2025,ALB,True,51,-74.09259962727465,13,1,12.0,6151.579124205774,120.61919851383871,22.175649494230846,0,0.0016960784313725492,0.0015,0.0031000000000000003,0,
benchmark-20260730-211116-3049d3,always_stay_out,1003,always_stay_out-1003-79a375a5,Monza,2025,ANT,True,52,-128.7897822614465,6,1,5.0,4300.335789661812,82.69876518580408,0.7288042810474094,0,0.0014961538461538463,0.0013,0.002814999999999997,0,
benchmark-20260730-211116-3049d3,always_stay_out,1003,always_stay_out-1003-622ac19b,Silverstone,2025,LEC,True,51,-39.789785560791636,6,1,5.0,5816.129557356487,114.04175602659778,15.63831932983809,0,0.001686274509803922,0.0015,0.0031,0,
benchmark-20260730-211116-3049d3,always_stay_out,1004,always_stay_out-1004-8f494b79,Monza,2025,STR,True,52,-151.84423671420888,16,4,12.0,4344.200658737283,83.54232036033237,1.6527608758390888,0,0.0014653846153846151,0.0013,0.003079999999999998,0,
benchmark-20260730-211116-3049d3,always_stay_out,1004,always_stay_out-1004-d05e5fc7,Silverstone,2025,LAW,True,51,-73.28178762196225,15,1,14.0,6153.748735795805,120.66173991756482,22.21819089795697,0,0.0017941176470588239,0.0015,0.0043,0,
benchmark-20260730-211116-3049d3,always_stay_out,1005,always_stay_out-1005-8a4ef7ef,Monza,2025,TSU,True,52,-128.81447615529433,9,1,8.0,4301.08997299361,82.71326871141558,0.733553106787373,0,0.0017942307692307693,0.0015,0.0033249999999999977,0,
benchmark-20260730-211116-3049d3,always_stay_out,1005,always_stay_out-1005-8b1a9f12,Silverstone,2025,SAI,True,51,-74.17821602007623,9,1,8.0,6152.69192983764,120.64101823211058,22.19746921250275,0,0.0016019607843137257,0.0014,0.0023499999999999997,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1001,rule_aware_heuristic-1001-501db0a2,Monza,2025,HAD,True,52,-11.765993807104163,19,5,14.0,4350.5870528643445,83.66513563200662,1.9273058524700895,2,0.004417307692307692,0.0038,0.007444999999999999,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1001,rule_aware_heuristic-1001-0dd165dd,Silverstone,2025,HUL,True,51,-82.11438249910914,19,1,18.0,5992.796421364234,117.50581218361243,19.062263164004595,2,0.0029372549019607854,0.0025,0.00595,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1002,rule_aware_heuristic-1002-5cee39d7,Monza,2025,SAI,True,52,-128.68085782853993,13,1,12.0,4299.768803513301,82.68786160602501,0.7078572747192171,0,0.0027500000000000003,0.0025,0.004444999999999999,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1002,rule_aware_heuristic-1002-784aa64f,Silverstone,2025,ALB,True,51,-74.09259962727465,13,1,12.0,6151.579124205774,120.61919851383871,22.175649494230846,0,0.0026980392156862746,0.0023,0.0056,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1003,rule_aware_heuristic-1003-092d74e7,Monza,2025,ANT,True,52,-128.7897822614465,6,1,5.0,4300.335789661812,82.69876518580408,0.7288042810474094,0,0.0031211538461538455,0.0026,0.005524999999999998,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1003,rule_aware_heuristic-1003-04085ec5,Silverstone,2025,LEC,True,51,-39.789785560791636,6,1,5.0,5816.129557356487,114.04175602659778,15.63831932983809,0,0.002484313725490196,0.0022,0.0052,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1004,rule_aware_heuristic-1004-153e82cd,Monza,2025,STR,True,52,-151.84423671420888,16,4,12.0,4344.200658737283,83.54232036033237,1.6527608758390888,0,0.002140384615384615,0.0021,0.003514999999999997,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1004,rule_aware_heuristic-1004-80ba0c0b,Silverstone,2025,LAW,True,51,-73.28178762196225,15,1,14.0,6153.748735795805,120.66173991756482,22.21819089795697,0,0.002435294117647059,0.0022,0.0036500000000000005,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1005,rule_aware_heuristic-1005-8290c039,Monza,2025,TSU,True,52,-128.81447615529433,9,1,8.0,4301.08997299361,82.71326871141558,0.733553106787373,0,0.0025596153846153846,0.0022500000000000003,0.004949999999999995,0,
benchmark-20260730-211116-3049d3,rule_aware_heuristic,1005,rule_aware_heuristic-1005-4ebeb28e,Silverstone,2025,SAI,True,51,-74.17821602007623,9,1,8.0,6152.69192983764,120.64101823211058,22.19746921250275,0,0.00265686274509804,0.0023,0.0040999999999999995,0,
benchmark-20260730-211116-3049d3,real_driver,1001,real_driver-1001-1f3acffe,Monza,2025,HAD,True,52,5.264164830919599,19,2,17.0,4332.577666484108,83.31880127854053,1.5809714990040056,1,76.580425,0.0018,0.007369999999999998,0,
benchmark-20260730-211116-3049d3,real_driver,1001,real_driver-1001-0c224e93,Silverstone,2025,HUL,True,51,-45.33106344736238,19,1,18.0,5819.885921364234,114.1154102228281,15.771416291113074,2,42.129311764705875,0.0035,0.0068000000000000005,0,
benchmark-20260730-211116-3049d3,real_driver,1002,real_driver-1002-5accdf09,Monza,2025,SAI,True,52,16.697966746482983,13,1,12.0,4320.053638774626,83.07795459181973,1.129567671450125,1,27.7112903846154,0.0017,0.004934999999999998,0,
benchmark-20260730-211116-3049d3,real_driver,1002,real_driver-1002-3d3ec3dd,Silverstone,2025,ALB,True,51,-45.26748700175423,13,1,12.0,5803.649737369812,113.79705367391789,15.456036187454034,2,29.195268627450993,0.0016,0.00775,0,
benchmark-20260730-211116-3049d3,real_driver,1003,real_driver-1003-c30a9e36,Monza,2025,ANT,True,52,8.401400474443355,6,2,4.0,4322.475424923136,83.124527402368,1.1637652168696135,1,27.75853653846154,0.0016,0.003924999999999998,0,
benchmark-20260730-211116-3049d3,real_driver,1003,real_driver-1003-76b9452a,Silverstone,2025,LEC,True,51,-55.66048771426605,6,1,5.0,5937.616770835935,116.423858251685,17.980309232077172,2,0.006972549019607845,0.0018,0.0032500000000000003,0,
benchmark-20260730-211116-3049d3,real_driver,1004,real_driver-1004-abd3e145,Monza,2025,STR,True,52,-13.253235352232549,16,6,10.0,4359.10424511752,83.82892779072154,1.9393683062282496,1,26.571434615384614,0.0036,0.006229999999999994,0,
benchmark-20260730-211116-3049d3,real_driver,1004,real_driver-1004-0fd23f07,Silverstone,2025,LAW,True,51,-73.28178762196225,15,1,14.0,6153.748735795805,120.66173991756482,22.21819089795697,0,27.524915686274515,0.0016,0.0058,0,
benchmark-20260730-211116-3049d3,real_driver,1005,real_driver-1005-0d2dbd9a,Monza,2025,TSU,True,52,4.946713043232581,9,2,7.0,4340.246208254934,83.4662732356718,1.4865576310436137,1,27.224009615384624,0.0016,0.004434999999999999,0,
benchmark-20260730-211116-3049d3,real_driver,1005,real_driver-1005-6c763b56,Silverstone,2025,SAI,True,51,-45.270532546990495,9,1,8.0,5813.64489331709,113.9930371238645,15.759383501690813,2,29.17472745098039,0.0017,0.00435,0,
