agent_a,agent_b,metric,paired_runs,mean_a,mean_b,mean_b_minus_a,difference_std,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,lower_is_better,numerical_winner
dqn,qrl,total_reward,10,-41.52968478578019,-54.50732260817425,-12.977637822394058,26.7678627778432,-1.5331404867138825,0.15960722143708375,15.0,0.42578125,False,dqn
dqn,qrl,final_position,10,5.2,6.8,1.6,4.788875998951459,1.0565410875907486,0.3182551738450921,3.0,0.25,True,dqn
dqn,qrl,position_gain,10,7.3,5.7,-1.6,4.788875998951459,-1.0565410875907486,0.3182551738450921,3.0,0.25,False,dqn
dqn,qrl,pit_count,10,2.1,0.9,-1.2,0.6324555320336759,-5.999999999999999,0.0002024993220676408,0.0,0.00390625,False,dqn
dqn,qrl,mean_lap_time,10,99.42655170030254,102.18091046180334,2.754358761500792,2.8701727800649777,3.0346769504886093,0.014139212969147597,3.0,0.01953125,True,dqn
